CV,MAE,Median_AE,P90_AE
Random CV,76455310.9576918,48696320,177772236.79999995
Random (proporción Localidad),76236617.54695989,49376048,178497318.4
Localidad,73737845.3228031,45017024,172943020.80000004
UPZ,75798798.20546448,47859648,175951142.4
NE Holdout,82258635.86218639,46178048,198974067.20000002
