CV,Overprediction_Pct,Underprediction_Pct,Mean_Overprediction,Mean_Underprediction
Localidad,0.5517659118441898,0.4482340881558103,66737298.24801554,-82355358.67619543
NorEste Holdout,0.548906023719128,0.45109397628087206,74653751.60745864,-91512509.77006508
Random CV,0.5447017725449605,0.45529822745503945,68904734.97933492,-85488537.6894004
UPZ,0.5434122647237402,0.45658773527625984,69284013.29452515,-83552431.84281915
