feature_group,Total_Gain,Mean_Gain,n_features,Gain_Share
Properati structural,0.6581865205266987,0.0062093067974216855,106,0.6581865205266987
OSM / Spatial,0.3066763403905274,0.016140860020554072,19,0.3066763403905274
Text-derived / amenities,0.03513713908277394,0.003194285371161267,11,0.03513713908277394
