CV,Bias,Overprediction_Pct,Underprediction_Pct
Random CV,-1390248.397722862,0.5447017725449605,0.45529822745503945
Random Stratified,-931925.1034928848,0.5489003880983182,0.45109961190168174
Spatial Locality,-91112.87913521579,0.5517659118441898,0.4482340881558103
Spatial UPZ,-499233.05840922886,0.5434122647237402,0.45658773527625984
NE Holdout,-302847.9610552272,0.548906023719128,0.45109397628087206
